Brand,Model,Price,Year,image_file,Screen_Size_in,Weight_kg,CPU,GPU,RAM_GB,Storage_GB,Battery_Hours,Category,Performance_Score,Portability_Score,Display_Score,Value_Score
Apple,MacBook Air 15 M3,11499,2024,,15.3,1.51,Apple M3,Apple M3 GPU,16,512,18,轻薄本,88,85,92,85
Apple,MacBook Air 13 M3,8999,2024,,13.6,1.24,Apple M3,Apple M3 GPU,16,256,18,轻薄本,86,95,90,88
Lenovo,YOGA Pro 14s,7999,2024,,14.5,1.38,Intel i7-13700H,Intel Iris Xe,16,512,12,轻薄本,88,90,92,88
Lenovo,Legion Y9000P,9999,2024,,16.0,2.57,Intel i9-14900HX,RTX 4070,32,1024,8,游戏本,95,60,90,85
Lenovo,Legion Y7000P,7299,2024,,15.6,2.40,Intel i7-14650HX,RTX 4060,16,512,7,游戏本,90,65,88,90
Lenovo,小新Pro 16,5999,2024,,16.0,1.95,Intel i7-13700H,RTX 4050,16,512,10,全能本,88,75,90,92
Lenovo,小新Air 14,4299,2024,,14.0,1.38,Intel i5-1340P,Intel Iris Xe,16,512,12,轻薄本,78,92,85,94
Dell,XPS 15,13999,2024,,15.6,1.86,Intel i7-13700H,RTX 4060,16,512,13,轻薄本,90,78,95,80
Dell,游匣G16,8499,2024,,16.0,2.67,Intel i7-14650HX,RTX 4060,16,512,7,游戏本,90,62,88,88
HP,战66六代,5499,2024,,14.0,1.40,Intel i7-1355U,Intel Iris Xe,16,512,12,商务本,80,90,85,92
HP,暗影精灵9 Plus,8999,2024,,16.1,2.46,Intel i7-13700HX,RTX 4060,16,512,7,游戏本,90,64,88,86
HP,星Book Pro 14,6499,2024,,14.0,1.40,Intel i7-1360P,Intel Iris Xe,16,512,13,轻薄本,82,90,90,88
ASUS,ROG 幻16 Air,14999,2024,,16.0,1.85,AMD R9-7945HX3D,RTX 4070,32,1024,10,游戏本,96,75,92,82
ASUS,ROG 枪神8,12999,2024,,16.0,2.50,Intel i9-14900HX,RTX 4080,32,1024,8,游戏本,97,60,90,78
ASUS,天选5,6999,2024,,15.6,2.05,AMD R7-8845HS,RTX 4060,16,512,8,游戏本,88,70,88,92
ASUS,灵耀14,6299,2024,,14.0,1.28,Intel i7-1360P,Intel Iris Xe,16,512,14,轻薄本,82,94,90,90
ASUS,无畏Pro 15,5499,2024,,15.6,1.75,AMD R7-7840HS,RTX 4050,16,512,10,全能本,86,82,88,92
Huawei,MateBook X Pro 2024,11999,2024,,14.2,0.98,Intel i7-Ultra 155H,Intel Arc,16,1024,15,轻薄本,86,98,95,82
Huawei,MateBook 16s,8999,2024,,16.0,1.99,Intel i7-13700H,Intel Iris Xe,16,512,12,全能本,88,76,92,86
Huawei,MateBook D 16,5699,2024,,16.0,1.68,Intel i7-13700H,Intel Iris Xe,16,512,11,轻薄本,85,80,88,92
Xiaomi,Book Pro 16 2024,7999,2024,,16.0,2.00,Intel i7-13700H,RTX 4060,16,512,10,全能本,90,75,92,88
Xiaomi,RedmiBook Pro 14,4999,2024,,14.0,1.40,Intel i5-13500H,Intel Iris Xe,16,512,12,轻薄本,80,90,88,94
Razer,Blade 16,26999,2024,,16.0,2.45,Intel i9-14900HX,RTX 4090,32,1024,8,游戏本,98,62,95,65
MSI,绝影16 AI Studio,15999,2024,,16.0,2.30,Intel i9-14900HX,RTX 4080,32,1024,9,游戏本,97,65,92,78
MSI,侠客15,6499,2024,,15.6,2.25,Intel i7-13620H,RTX 4060,16,512,8,游戏本,88,68,85,90
Acer,掠夺者战斧16,12999,2024,,16.0,2.65,Intel i9-14900HX,RTX 4070,32,1024,8,游戏本,95,58,90,80
Acer,非凡Go Pro,4999,2024,,14.0,1.35,Intel i5-13500H,Intel Iris Xe,16,512,13,轻薄本,78,92,88,94
荣耀,MagicBook Pro 16,6999,2024,,16.0,1.78,Intel i7-13700H,RTX 4060,16,512,10,全能本,88,78,90,90
华硕,天选Air,5999,2024,,14.0,1.35,AMD R9-7940HS,RTX 4050,16,512,10,轻薄本,86,92,88,92
Apple,MacBook Pro 14 M4,12999,2024,,14.2,1.55,Apple M4,Apple M4 GPU,16,512,18,专业本,94,82,96,85
Apple,MacBook Pro 16 M5,24999,2025,,16.2,2.14,Apple M5,Apple M5 GPU,32,1024,24,专业本,99,72,98,78
Lenovo,Legion Y9000P 2025,10999,2025,,16.0,2.5,Intel i9-15900HX,RTX 5070,32,1024,9,游戏本,97,62,92,86
Lenovo,Legion Y9000P 2026,11999,2026,,16.0,2.45,Intel i9-16900HX,RTX 6070,64,2048,10,游戏本,99,65,94,82
Huawei,MateBook X Pro 2025,12999,2025,,14.2,0.95,Intel Ultra 7 2xx,Intel Arc,32,1024,16,轻薄本,92,99,96,80
