Brand,Model,Price,Year,image_file,Storage_GB,RAM_GB,Screen_Size_in,Battery_mAh,Camera_MP,Processor,OS,Performance_Score,Camera_Score,Battery_Score,Value_Score
Apple,iPhone 15 Pro Max,9999,2023,,256,8,6.7,4422,48,A17 Pro,iOS,95,94,85,80
Apple,iPhone 15 Pro,7999,2023,,128,8,6.1,3274,48,A17 Pro,iOS,94,93,80,82
Apple,iPhone 15,5999,2023,,128,6,6.1,3349,48,A16 Bionic,iOS,88,88,82,85
Apple,iPhone 15 Plus,6999,2023,,128,6,6.7,4383,48,A16 Bionic,iOS,88,88,90,83
Apple,iPhone 14,4999,2023,,128,6,6.1,3279,12,A15 Bionic,iOS,85,82,80,88
Samsung,Galaxy S24 Ultra,9699,2024,,256,12,6.8,5000,200,骁龙8 Gen3,Android,96,96,90,82
Samsung,Galaxy S24+,7499,2024,,256,12,6.7,4900,50,骁龙8 Gen3,Android,92,90,88,84
Samsung,Galaxy S24,5999,2024,,128,8,6.2,4000,50,骁龙8 Gen3,Android,90,88,82,86
Samsung,Galaxy Z Fold5,12999,2023,,256,12,7.6,4400,50,骁龙8 Gen2,Android,90,85,75,70
Samsung,Galaxy Z Flip5,6999,2023,,256,8,6.7,3700,12,骁龙8 Gen2,Android,88,80,72,78
Huawei,Mate 60 Pro+,8999,2023,,512,16,6.82,5000,48,麒麟9000S,HarmonyOS,92,93,88,82
Huawei,Mate 60 Pro,6999,2023,,256,12,6.82,5000,48,麒麟9000S,HarmonyOS,90,92,88,85
Huawei,Mate 60,5499,2023,,256,12,6.69,4750,50,麒麟9000S,HarmonyOS,88,88,85,88
Huawei,Pura 70 Ultra,6499,2024,,256,16,6.76,5200,50,麒麟9010,HarmonyOS,91,95,90,85
Huawei,Pura 70 Pro,5999,2024,,256,12,6.76,5050,50,麒麟9010,HarmonyOS,89,93,88,86
Xiaomi,14 Ultra,6499,2024,,256,16,6.73,5300,50,骁龙8 Gen3,Android,94,96,88,88
