Brand,Model,Price,Year,image_file,Screen_Size_in,Resolution,Refresh_Rate_Hz,Panel_Type,Color_Gamut,Response_Time_ms,HDR_Support,Ports,Display_Score,Performance_Score,Ergonomics_Score,Value_Score
Dell,U2723DE,3699,2022,,27,2560x1440,60,IPS,95% DCI-P3,5,HDR400,USB-C/DP/HDMI,92,75,90,82
Dell,U2724D,3299,2024,,27,2560x1440,120,IPS,98% DCI-P3,5,HDR400,USB-C/DP/HDMI,94,85,92,85
Dell,P2723DE,2499,2022,,27,2560x1440,60,IPS,99% sRGB,8,无,USB-C/DP/HDMI,85,70,88,85
Samsung,Odyssey Neo G8,6999,2022,,32,3840x2160,240,Mini LED VA,95% DCI-P3,1,HDR2000,DP/HDMI,98,98,88,70
BenQ,PD2705U,3999,2023,,27,3840x2160,60,IPS,95% DCI-P3,5,HDR400,USB-C/DP/HDMI,94,75,90,80
优派,VX2781-2K-PRO,1599,2022,,27,2560x1440,170,Fast IPS,99% sRGB,0.5,无,DP/HDMI,86,94,80,90
微星,MPG321UR-QD,7999,2022,,32,3840x2160,144,IPS,98% DCI-P3,1,HDR600,DP/HDMI/USB-C,96,95,90,72
小米,显示器27英寸,1499,2023,,27,2560x1440,165,Fast IPS,95% DCI-P3,1,无,DP/HDMI,88,92,78,92
Apple,Studio Display,11499,2022,,27,5120x2880,60,IPS,99% DCI-P3,10,无,Thunderbolt,98,70,92,65
LG,27GR95QE,9999,2023,,27,2560x1440,240,OLED,99% DCI-P3,0.03,HDR10,DP/HDMI,98,98,88,68
Samsung,Odyssey OLED G6 G60SF,6999,2025,,27,2560x1440,360,QD-OLED,99% DCI-P3,0.03,HDR True Black 400,HDMI 2.1/DP 1.4,98,99,90,80
ASUS,ROG Swift OLED PG32UCDP,9999,2025,,32,3840x2160,240,WOLED,99% DCI-P3,0.03,HDR10,DP 2.1,99,98,92,75
LG,UltraGear 32GS95UE,8999,2024,,32,4K Dual Mode,240/480,WOLED,98% DCI-P3,0.03,HDR400,HDMI 2.1/DP 1.4,97,99,88,80
ASUS,ROG Swift OLED PG27UCDM,8999,2024,,27,3840x2160,240,QD-OLED,99% DCI-P3,0.03,HDR400,"HDMI 2.1, DP 1.4, USB-C 90W",98,97,88,80
ASUS,ROG Swift OLED PG32UCDM,10999,2024,,32,3840x2160,240,QD-OLED,99% DCI-P3,0.03,HDR400,HDMI 2.1/DP 1.4/USB-C,98,97,85,78
LG,32GS95UE-B,9999,2024,,32,4K Dual Mode,240/480,WOLED,98.5% DCI-P3,0.03,True,"HDMI 2.1, DP 1.4",98,99,92,82
Samsung,Odyssey OLED G8 (2024),9499,2024,,32,3840x2160,240,QD-OLED,99% DCI-P3,0.03,HDR10,HDMI 2.1/DP 1.4,97,96,88,82
Dell,Alienware AW3225QF,9999,2024,,32,3840x2160,240,QD-OLED (Curved),99% DCI-P3,0.03,Dolby Vision,HDMI 2.1/eARC,99,99,90,80
MSI,MPG 321URX,8499,2024,,32,3840x2160,240,QD-OLED,99% DCI-P3,0.03,HDR10,"HDMI 2.1, DP 1.4, USB-C 90W",97,96,88,95
Samsung,Odyssey OLED G8 2024,9499,2024,N/A,32,3840x2160,240,QD-OLED,99% DCI-P3,0.03,HDR10,"HDMI 2.1, DP 1.4",97,96,88,80
